מספר,task_type,שם משימה,סטטוס,אחוז התקדמות,שלב הבא,הערות
1,למיון,בניית מנוע שיפוץ לפי קובץ 18,פעילה,0.9,1–2 ש’,ראשי
2,למיון,ניתוח שיפוץ מתמונות Zillow/Redfin,פעילה,0.8,1–2 ימים,ראשי
3,למיון,פיתוח מודול זיהוי חסרים (מטבח וכו’),פעילה,0.4,1 יום,ראשי
4,למיון,Batch Mode – ניתוח מרובה עסקאות,פעילה,1.0,הושלם,ראשי
5,למיון,מערכת פלט CSV + קישור “צפה”,פעילה,1.0,הושלם,ראשי
6,למיון,דשבורד CSV אינטראקטיבי,פעילה,0.5,3–5 שעות,ראשי
7,למיון,חיבור ל־Google Sheets,בהמתנה,0.0,מוכן להפעלה,ראשי
8,למיון,חיבור ל־Google Drive,בהמתנה,0.0,מוכן להפעלה,ראשי
9,למיון,בניית תיקיות ל־VPS,פעילה,0.6,1 יום אחרי פתיחה,ראשי
10,למיון,פתיחת שרת VPS והגדרה,ממתין,0.0,מוכן לפעולה,VPS
11,למיון,הטמעת Vision API,בתכנון,0.0,מתחיל כשיש דאטה,ראשי
12,למיון,Vision API – אימון מקומי,פעילה,0.2,2–3 ימים,ראשי
13,למיון,GitHub – בדיקת תקינות Push,הושלם,1.0,-,ראשי
14,למיון,Exploratory Zillow/Redfin,פעילה,0.5,3 ש’,מחקר
15,למיון,מיפוי קומפסים לפי חדרים/גודל,פעילה,0.8,2 ש’,מחקר
16,למיון,מחקר ספקי דאטה (ATTOM וכו’),פעילה,0.7,1–2 ימים,מחקר
17,למיון,RESTB.ai בדיקת עלויות + API,פעילה,0.4,1 יום,מחקר
18,למיון,מעבר אוטומטי בין צ’אטים,פעילה,1.0,הושלם,מעבר
19,למיון,בניית טבלת משימות ראשית,פעילה,0.95,שיפור פורמט בלבד,מעבר
20,למיון,יצירת טקסט פתיחה לצ’אט חדש,הושלם,1.0,-,מעבר
21,למיון,Transition Guide תיעוד,הושלם,1.0,-,מעבר
22,למיון,ניהול סטטוס JSON לכל משימה,פעילה,0.6,רץ ברקע,מעבר
23,למיון,DealFiles Input Adapter,הושלם,1.0,-,עיבוד
24,למיון,Analyze & Push Script,הושלם,1.0,-,עיבוד
25,למיון,Template HTML Output,הושלם,1.0,-,עיבוד
26,למיון,פיתוח “צפה” HTML אוטומטי,הושלם,1.0,-,עיבוד
27,למיון,בדיקות סופיות לפרויקט Config,הושלם,1.0,-,קונפיג
28,למיון,קונפיג מודולרי (JSON/MD/TXT),הושלם,1.0,-,קונפיג
29,למיון,ניתוח דמו על עסקת Strawberry,פעילה,0.7,30 דק,עיבוד
30,למיון,מעבר מ־Chat אחד לעשרות,פעילה,0.8,שיפור תהליך,מעבר
31,למיון,מפת משימות בין צ’אטים,בתכנון,0.0,רץ בהצעה,מעבר
32,למיון,רה-ארגון תיקיות מערכת,פעילה,0.6,3 שעות,סיסטם
33,למיון,תיעוד שיטת קבלת החלטות (קובץ 18),פעילה,0.9,1 ש’,תיעוד
34,למיון,קובץ Markdown לפיילוט,הושלם,1.0,-,תיעוד
35,למיון,בדיקות קבצי קלט (CSV/JSON),פעילה,0.8,1 ש’,בקרה
36,למיון,הפקת אחוזי שיפוץ לפי סוגים,פעילה,0.7,1 יום,שיפוץ
37,למיון,זיהוי תמונות חסרות (אוטומטי),פעילה,0.4,1.5 ימים,שיפוץ
38,למיון,בדיקת יכולת חישוב Equity מדויק,פעילה,0.8,2 ש’,ניתוח
39,למיון,Score Calculation Engine,פעילה,0.7,1–2 ימים,ניתוח
40,למיון,ניהול גרסאות לפי צ’אט,בתכנון,0.0,בהצעה,בקרה
41,למיון,התאמת הפלט גם ל־Mobile View,הושלם,1.0,-,עיצוב
42,למיון,PropStream Pilot CSV Run,מתוכננת,0.0,עיבוד CSV ברגע שתהיה גישה,חיבור מלא לקובץ CSV מפיילוט אמיתי
43,למיון,חוזה הולסיילר → ניתוח אוטומטי,בתכנון,0.0,הגדרת תבנית חוזה,ידרוש OCR / פורמט קבוע
44,למיון,הצלבת ניתוחים מול קורס אדן,בתכנון,0.0,כשתהיה עסקה אמיתית,להשוות חישובי ARV/BRRR בפועל
45,למיון,מנוע Occupancy לזיהוי מצב תפוס/פנוי,בתכנון,0.0,להתחבר ל־Zillow / פרופסטרים,ישפיע על החלטות שיפוץ
